,status,age,education,profession,device,account_balance,loan,mortgage,credit,positive,n_contact,l_call_duration,subscribed,p_campain,month,day
44,married,29,master,scientist,unknown,0.07990436896631731,False,True,False,True,0.0,0.14285714285714285,False,False,5,16
45,married,41,master,scientist,unknown,0.07361975567683168,False,False,False,True,0.016129032258064516,0.29870129870129875,False,False,6,9
46,married,45,master,engineer,cellular,0.0763635996812299,False,True,False,True,0.016129032258064516,0.3506493506493507,False,True,11,21
47,single,57,master,accountant,unknown,0.07852235930233732,False,False,False,True,0.0,0.5064935064935066,False,False,6,19
48,married,25,doctoral,student,unknown,0.0835359272074326,False,True,False,True,0.016129032258064516,0.09090909090909088,False,False,5,26
49,married,44,doctoral,engineer,unknown,0.09264508579556346,False,True,False,True,0.0,0.3376623376623377,False,False,5,16
50,single,26,doctoral,technician,cellular,0.0925038585306312,False,True,False,True,0.0,0.10389610389610388,False,True,5,26
51,single,34,master,scientist,cellular,0.07426536603080773,False,False,False,True,0.0,0.2077922077922078,False,False,8,21
52,single,33,doctoral,manager,cellular,0.07676710615246493,False,True,False,True,0.0,0.19480519480519481,False,True,11,21
53,married,30,master,teacher,cellular,0.07284300571970424,False,True,False,True,0.016129032258064516,0.15584415584415584,False,False,7,11
54,married,46,master,technician,cellular,0.07749341780068798,False,True,False,True,0.03225806451612903,0.3636363636363637,False,False,5,5
55,married,42,master,student,cellular,0.07642412565191516,False,False,False,True,0.016129032258064516,0.31168831168831174,False,False,1,28
56,married,32,doctoral,manager,cellular,0.09289727734008535,False,False,False,True,0.016129032258064516,0.18181818181818182,False,True,1,29
57,divorced,46,doctoral,manager,cellular,0.0848674985625082,False,False,False,True,0.016129032258064516,0.3636363636363637,True,False,7,3
58,single,28,master,scientist,cellular,0.08518021607771536,False,False,False,True,0.03225806451612903,0.12987012987012986,False,True,6,9
59,divorced,30,master,technician,unknown,0.07622237241629763,False,True,False,True,0.22580645161290325,0.15584415584415584,True,False,6,4
60,married,33,master,engineer,unknown,0.08905387820157167,True,True,False,True,0.0,0.19480519480519481,False,False,5,9
61,married,31,master,manager,telephone,0.08246663505865977,False,False,False,True,0.0,0.16883116883116883,False,False,11,20
62,married,40,master,engineer,cellular,0.0819925149549586,False,True,False,True,0.0,0.28571428571428575,False,False,5,6
63,married,93,master,accountant,cellular,0.07984384299563205,False,False,False,True,0.016129032258064516,0.974025974025974,True,True,7,22
64,married,46,master,scientist,unknown,0.0733171258234054,False,False,False,True,0.0,0.3636363636363637,True,False,5,28
66,married,31,doctoral,manager,cellular,0.07775569700699075,False,False,False,True,0.016129032258064516,0.16883116883116883,False,False,8,7
67,single,41,master,engineer,unknown,0.11533223714075316,False,False,False,True,0.08064516129032258,0.29870129870129875,False,False,6,20
68,single,47,master,technician,cellular,0.07294388233751299,False,False,False,True,0.0,0.3766233766233767,False,True,2,2
69,married,46,doctoral,manager,unknown,0.08164953445440883,False,True,False,True,0.03225806451612903,0.3636363636363637,False,False,6,20
70,married,47,master,scientist,cellular,0.07280265507258074,False,True,False,True,0.0,0.3766233766233767,False,True,4,30
71,married,44,master,scientist,unknown,0.07280265507258074,False,False,False,True,0.0,0.3376623376623377,False,False,6,16
72,married,30,doctoral,manager,cellular,0.08076182021769175,False,False,False,True,0.0,0.15584415584415584,False,True,8,13
73,single,32,master,technician,cellular,0.0769486840645207,False,False,False,True,0.03225806451612903,0.18181818181818182,False,True,7,26
74,single,45,doctoral,scientist,unknown,0.07359958035326992,False,False,False,True,0.04838709677419355,0.3506493506493507,False,False,7,23
75,single,30,master,engineer,unknown,0.07280265507258074,False,True,False,True,0.016129032258064516,0.15584415584415584,False,False,5,5
76,married,60,master,accountant,cellular,0.0736096680150508,False,False,False,True,0.016129032258064516,0.5454545454545454,False,False,4,30
77,married,44,master,scientist,cellular,0.22247329291543516,True,True,True,True,0.03225806451612903,0.3376623376623377,False,False,11,19
78,single,35,doctoral,student,unknown,0.08129646629207816,False,True,False,True,0.016129032258064516,0.2207792207792208,False,False,5,28
79,single,29,doctoral,manager,unknown,0.07579869062150085,False,True,False,True,0.0,0.14285714285714285,False,False,5,21
80,married,42,doctoral,student,cellular,0.16424730911621999,False,False,False,True,0.0,0.31168831168831174,False,False,4,22
81,married,52,doctoral,manager,cellular,0.08247672272044064,True,True,False,True,0.016129032258064516,0.44155844155844154,False,True,11,21
82,single,28,master,teacher,cellular,0.08932624506965531,False,True,False,True,0.016129032258064516,0.12987012987012986,False,True,2,5
83,married,36,master,scientist,cellular,0.10759500055482141,False,True,False,True,0.0,0.2337662337662338,False,False,7,11
84,married,32,doctoral,manager,cellular,0.09252403385419294,False,True,False,True,0.04838709677419355,0.18181818181818182,False,False,8,22
85,divorced,45,master,technician,cellular,0.0941683227244757,False,True,False,True,0.0,0.3506493506493507,True,True,3,5
86,married,37,bachelor,engineer,unknown,0.11867125319022305,False,True,False,True,0.03225806451612903,0.24675324675324678,False,False,6,20
87,married,46,master,engineer,cellular,0.15748857572303318,False,True,False,True,0.03225806451612903,0.3636363636363637,True,False,5,5
88,single,39,master,teacher,cellular,0.07280265507258074,True,True,False,True,0.04838709677419355,0.27272727272727276,False,False,4,20
89,married,51,bachelor,engineer,cellular,0.1372426385288154,False,False,False,True,0.0967741935483871,0.42857142857142855,True,False,8,6
90,single,24,doctoral,teacher,unknown,0.08538196931333288,False,True,False,True,0.016129032258064516,0.07792207792207789,False,False,5,28
91,single,32,doctoral,scientist,telephone,0.11304233791649435,False,False,False,True,0.04838709677419355,0.18181818181818182,False,False,11,18
92,married,49,master,technician,cellular,0.08554337190182688,False,False,False,True,0.016129032258064516,0.40259740259740256,False,True,2,3
93,single,31,doctoral,manager,cellular,0.11396031513855405,False,False,False,True,0.03225806451612903,0.16883116883116883,False,True,6,14
94,single,34,master,scientist,cellular,0.3219779887219942,False,True,False,True,0.016129032258064516,0.2077922077922078,False,False,11,21
95,single,33,doctoral,manager,cellular,0.09701304334668269,False,True,False,True,0.0,0.19480519480519481,False,True,5,18
96,married,57,master,student,cellular,0.1431338330088469,False,False,False,True,0.016129032258064516,0.5064935064935066,False,False,8,7
97,married,37,doctoral,manager,cellular,0.09113193652843209,False,True,False,True,0.0,0.24675324675324678,False,False,5,13
98,divorced,53,doctoral,manager,cellular,0.09318981953173075,False,False,False,True,0.016129032258064516,0.45454545454545453,False,False,3,24
99,divorced,52,master,scientist,cellular,0.07534474584136144,False,False,False,True,0.06451612903225806,0.44155844155844154,False,False,7,14
100,married,48,master,engineer,unknown,0.07714034963835734,True,True,False,True,0.016129032258064516,0.3896103896103896,False,False,5,16
101,single,36,master,self-employed,cellular,0.08052980399673161,False,False,False,True,0.016129032258064516,0.2337662337662338,False,False,6,2
102,married,37,doctoral,manager,unknown,0.08926571909897006,False,True,False,True,0.04838709677419355,0.24675324675324678,False,False,5,21
103,married,42,master,technician,cellular,0.10098758208834775,False,False,False,True,0.016129032258064516,0.31168831168831174,False,False,5,8
104,divorced,43,master,technician,cellular,0.08256751167646852,False,True,False,True,0.0,0.32467532467532473,False,True,5,12
105,married,52,master,student,cellular,0.07131976879079199,False,True,False,False,0.016129032258064516,0.44155844155844154,False,False,8,20
106,married,54,master,teacher,cellular,0.07280265507258074,False,True,False,True,0.016129032258064516,0.4675324675324675,True,True,2,5
107,married,41,doctoral,manager,cellular,0.213061504473878,False,False,False,True,0.12903225806451613,0.29870129870129875,False,False,8,22
108,married,55,doctoral,retired,cellular,0.453420221726806,False,False,False,True,0.03225806451612903,0.4805194805194805,False,False,8,6
109,single,35,doctoral,manager,unknown,0.07344826542655679,False,True,False,True,0.1774193548387097,0.2207792207792208,False,False,5,21
110,married,38,master,technician,cellular,0.0782399047724728,False,True,False,True,0.016129032258064516,0.25974025974025977,False,False,2,4
111,divorced,37,doctoral,manager,unknown,0.07432589200149299,False,True,False,True,0.0,0.24675324675324678,False,False,6,5
112,married,30,master,engineer,cellular,0.074567995884234,False,True,False,True,0.03225806451612903,0.15584415584415584,False,False,5,8
113,married,57,bachelor,accountant,unknown,0.07124915515832586,False,True,False,False,0.016129032258064516,0.5064935064935066,False,False,6,3
114,married,31,doctoral,student,cellular,0.0748605380758794,True,True,False,True,0.08064516129032258,0.16883116883116883,False,True,1,30
115,married,50,master,teacher,unknown,0.07377107060354482,False,True,False,True,0.04838709677419355,0.41558441558441556,False,False,5,9
116,single,26,master,teacher,unknown,0.07449738225176787,False,True,False,True,0.0,0.10389610389610388,False,False,5,9
117,divorced,31,doctoral,scientist,cellular,0.08369732979592662,False,False,True,True,0.0,0.16883116883116883,False,False,11,19
118,divorced,59,master,engineer,cellular,0.07692850874095894,False,True,False,True,0.0,0.5324675324675325,False,False,7,10
119,married,40,doctoral,manager,unknown,0.07797762556617002,False,True,False,True,0.016129032258064516,0.28571428571428575,False,False,5,8
120,single,26,master,self-employed,cellular,0.07854253462589908,False,False,False,True,0.0,0.10389610389610388,True,False,2,12
121,married,37,doctoral,manager,telephone,0.09426919934228446,False,False,False,True,0.04838709677419355,0.24675324675324678,False,False,7,18
122,married,34,master,technician,unknown,0.07335747647052891,True,False,False,True,0.0,0.2077922077922078,False,False,5,5
123,married,32,master,scientist,cellular,0.07007898639174427,False,False,False,False,0.12903225806451613,0.18181818181818182,False,False,8,28
124,married,49,master,engineer,cellular,0.08242628441153627,True,False,False,True,0.08064516129032258,0.40259740259740256,False,False,7,31
125,married,44,bachelor,architect,telephone,0.07280265507258074,False,False,False,True,0.5967741935483871,0.3376623376623377,False,False,7,31
126,divorced,36,bachelor,engineer,cellular,0.07280265507258074,False,False,False,True,0.016129032258064516,0.2337662337662338,False,False,5,14
127,married,56,master,scientist,unknown,0.07606096982780362,False,True,False,True,0.04838709677419355,0.4935064935064935,False,False,6,6
128,single,27,doctoral,manager,cellular,0.07359958035326992,False,False,False,True,0.0,0.11688311688311687,False,False,5,4
129,married,45,bachelor,retired,unknown,0.09053676448336041,False,True,False,True,0.03225806451612903,0.3506493506493507,False,False,5,15
130,married,34,master,teacher,cellular,0.07457808354601488,False,False,False,True,0.03225806451612903,0.2077922077922078,False,False,2,6
131,married,37,doctoral,manager,cellular,0.07280265507258074,False,False,False,True,0.0,0.24675324675324678,False,False,9,14
132,married,35,master,engineer,unknown,0.07280265507258074,False,True,False,True,0.0,0.2207792207792208,False,False,5,5
133,married,34,master,retired,cellular,0.07693859640273983,True,True,False,True,0.11290322580645161,0.2077922077922078,False,False,8,28
134,single,30,doctoral,manager,cellular,0.07829034308137718,True,False,False,True,0.0,0.15584415584415584,False,False,2,2
135,married,42,master,engineer,unknown,0.0949652480051649,False,True,False,True,0.0,0.31168831168831174,False,False,5,30
136,married,35,master,technician,cellular,0.07670658018177967,False,True,False,True,0.0,0.2207792207792208,False,True,4,17
137,married,53,bachelor,engineer,unknown,0.07367019398573606,False,True,False,True,0.03225806451612903,0.45454545454545453,False,False,5,29
138,married,30,doctoral,technician,cellular,0.07280265507258074,False,True,False,True,0.016129032258064516,0.15584415584415584,False,False,7,24
139,single,47,master,scientist,telephone,0.07332721348518628,False,False,False,True,0.0,0.3766233766233767,False,False,2,5
140,single,32,doctoral,manager,cellular,0.0793192845830265,False,True,False,True,0.0,0.18181818181818182,True,False,6,15
141,single,34,bachelor,engineer,unknown,0.07280265507258074,False,True,False,True,0.0,0.2077922077922078,False,False,5,8
142,married,40,master,scientist,cellular,0.07599035619533749,True,False,False,True,0.0,0.28571428571428575,False,False,7,7
143,married,35,master,teacher,cellular,0.08230523247016575,False,True,False,True,0.016129032258064516,0.2207792207792208,False,False,4,20
144,single,38,master,scientist,cellular,0.09026439761527677,False,False,False,True,0.04838709677419355,0.25974025974025977,False,False,7,30
145,married,37,master,manager,cellular,0.0746991354873854,False,False,False,True,0.03225806451612903,0.24675324675324678,False,True,10,14
146,married,55,master,manager,telephone,0.08034822608467584,True,True,False,True,0.0,0.4805194805194805,False,True,1,27
147,married,33,bachelor,engineer,cellular,0.07406361279519022,False,True,False,True,0.0,0.19480519480519481,False,False,5,8
148,married,56,bachelor,architect,cellular,0.07557676206232158,True,False,False,True,0.0,0.4935064935064935,False,False,7,8
149,married,58,bachelor,engineer,cellular,0.07989428130453644,False,True,False,True,0.016129032258064516,0.5194805194805194,False,False,5,15
150,divorced,35,master,scientist,cellular,0.07280265507258074,False,True,False,True,0.08064516129032258,0.2207792207792208,False,False,5,12
151,married,38,doctoral,scientist,cellular,0.07277239208723811,False,False,False,True,0.016129032258064516,0.25974025974025977,False,True,11,20
152,single,22,master,unemployed,cellular,0.0751127296204013,False,False,False,True,0.016129032258064516,0.051948051948051965,True,False,1,13
153,married,47,master,teacher,cellular,0.08395960900222939,True,False,False,True,0.3064516129032258,0.3766233766233767,False,False,7,21
154,married,31,master,teacher,cellular,0.07253028820449708,True,True,False,False,0.016129032258064516,0.16883116883116883,False,False,7,17
155,married,71,master,accountant,cellular,0.091545530661448,False,False,False,True,0.016129032258064516,0.6883116883116884,False,True,8,9
156,married,41,bachelor,engineer,unknown,0.07441668095752087,False,True,False,True,0.0,0.29870129870129875,False,True,7,20
157,married,48,master,manager,cellular,0.0648535775892506,True,False,False,False,0.24193548387096775,0.3896103896103896,False,False,7,31
158,married,60,doctoral,retired,unknown,0.08337452461893859,False,True,False,True,0.0,0.5454545454545454,False,False,5,15
159,married,27,master,engineer,cellular,0.12595454499601538,False,False,False,True,0.016129032258064516,0.11688311688311687,False,False,5,15
160,married,40,doctoral,manager,cellular,0.07280265507258074,False,False,False,True,0.0,0.28571428571428575,False,False,5,11
161,single,33,master,engineer,cellular,0.07379124592710656,True,True,False,True,0.03225806451612903,0.19480519480519481,False,False,7,10
162,single,36,doctoral,technician,cellular,0.0816999727633132,False,False,False,True,0.04838709677419355,0.2337662337662338,False,True,11,11
163,divorced,49,bachelor,scientist,unknown,0.0892051931282848,True,False,False,True,0.03225806451612903,0.40259740259740256,False,False,7,3
164,married,45,bachelor,engineer,cellular,0.07745306715356448,False,False,False,True,0.016129032258064516,0.3506493506493507,False,False,8,26
165,married,43,doctoral,technician,cellular,0.08475653428291857,False,True,False,True,0.0,0.32467532467532473,False,False,2,4
166,married,40,bachelor,teacher,cellular,0.07238906093956483,True,False,False,False,0.0,0.28571428571428575,False,False,7,8
167,married,39,doctoral,manager,cellular,0.07729166456507047,False,False,False,True,0.0,0.27272727272727276,True,True,9,9
168,single,43,master,technician,cellular,0.08829730356800598,False,True,False,True,0.03225806451612903,0.32467532467532473,True,True,9,6
169,single,31,master,teacher,cellular,0.07280265507258074,False,True,False,True,0.0,0.16883116883116883,False,False,7,24
170,married,63,bachelor,engineer,telephone,0.07385177189779182,False,False,False,True,0.0,0.5844155844155845,True,True,4,27
171,married,34,bachelor,retired,cellular,0.07430571667793123,False,True,False,True,0.016129032258064516,0.2077922077922078,False,True,4,17
172,single,33,master,self-employed,unknown,0.07434606732505473,False,True,False,True,0.0,0.19480519480519481,False,False,6,3
173,married,43,master,engineer,unknown,0.07920832030343687,False,True,False,True,0.04838709677419355,0.32467532467532473,False,False,6,3
174,single,31,doctoral,technician,unknown,0.14094481040239684,True,True,False,True,0.0,0.16883116883116883,False,False,6,2
175,single,32,doctoral,manager,cellular,0.07929910925946476,False,False,False,True,0.0,0.18181818181818182,False,False,8,11
176,married,30,doctoral,manager,unknown,0.08619906991758382,True,True,False,True,0.04838709677419355,0.15584415584415584,False,False,6,3
177,married,55,doctoral,scientist,cellular,0.08352583954565172,False,False,False,True,0.0,0.4805194805194805,False,False,11,21
178,married,46,master,teacher,cellular,0.07576842763615822,True,True,False,True,0.016129032258064516,0.3636363636363637,False,False,4,20
179,married,56,bachelor,engineer,unknown,0.07503202832615428,False,True,False,True,0.0,0.4935064935064935,False,False,5,23
180,married,39,bachelor,engineer,cellular,0.10298493912096117,False,False,False,True,0.0,0.27272727272727276,False,False,7,9
181,married,27,master,scientist,unknown,0.07499167767903078,True,False,False,True,0.0,0.11688311688311687,False,False,2,26
182,divorced,59,doctoral,manager,cellular,0.22764826340902444,False,True,False,True,0.016129032258064516,0.5324675324675325,False,False,11,20
183,married,31,bachelor,unemployed,cellular,0.07321624920559665,False,True,False,True,0.0,0.16883116883116883,True,False,7,10
184,married,53,doctoral,retired,cellular,0.09358323834118491,True,True,False,True,0.0,0.45454545454545453,False,False,11,17
185,married,37,master,self-employed,cellular,0.08326356033934895,False,False,False,True,0.0,0.24675324675324678,False,False,1,29
186,married,55,master,manager,cellular,0.08646134912388659,False,True,False,True,0.016129032258064516,0.4805194805194805,True,False,5,22
187,married,58,bachelor,accountant,cellular,0.07283291805792337,False,False,False,True,0.016129032258064516,0.5194805194805194,False,False,8,14
188,single,33,doctoral,manager,cellular,0.09422884869516096,False,True,False,True,0.0,0.19480519480519481,False,False,11,20
189,single,32,doctoral,scientist,cellular,0.08600740434374718,False,True,False,True,0.0,0.18181818181818182,False,True,4,20
190,married,54,bachelor,engineer,cellular,0.12901110651562075,False,False,False,True,0.016129032258064516,0.4675324675324675,False,False,11,19
191,married,32,master,engineer,cellular,0.0748201874287559,False,True,False,True,0.016129032258064516,0.18181818181818182,False,False,5,11
192,married,56,master,accountant,cellular,0.07280265507258074,True,False,False,True,0.04838709677419355,0.4935064935064935,False,False,8,7
193,married,56,master,teacher,unknown,0.0776144697420585,False,True,False,True,0.0967741935483871,0.4935064935064935,False,False,5,20
194,married,36,master,scientist,cellular,0.07612149579848888,True,False,False,True,0.08064516129032258,0.2337662337662338,False,False,8,22
195,married,41,master,engineer,unknown,0.07457808354601488,False,True,False,True,0.0,0.29870129870129875,False,False,5,13
196,divorced,57,master,engineer,cellular,0.07562720037122596,False,True,False,True,0.016129032258064516,0.5064935064935066,False,False,5,11
197,married,33,master,teacher,unknown,0.07646447629903866,False,True,False,True,0.016129032258064516,0.19480519480519481,False,False,5,20
198,single,33,master,manager,cellular,0.0720259051154533,False,True,False,False,0.0,0.19480519480519481,False,False,7,18
199,single,72,master,accountant,cellular,0.07813902815466404,True,False,False,True,0.03225806451612903,0.7012987012987013,False,False,3,5
200,married,52,master,engineer,cellular,0.07557676206232158,False,False,False,True,0.4032258064516129,0.44155844155844154,False,False,8,28
201,single,27,doctoral,scientist,cellular,0.0764443009754769,False,False,False,True,0.03225806451612903,0.11688311688311687,True,True,8,6
202,single,41,master,engineer,unknown,0.09854636793737581,False,True,False,True,0.0,0.29870129870129875,False,False,5,28
203,single,44,master,manager,cellular,0.07662587888753267,True,False,False,True,0.0,0.3376623376623377,False,False,8,5
204,married,35,master,architect,cellular,0.07730175222685134,False,False,False,True,0.04838709677419355,0.2207792207792208,False,False,8,14
205,single,27,master,unemployed,cellular,0.09653892324298152,False,False,False,True,0.016129032258064516,0.11688311688311687,True,False,4,8
206,single,32,master,technician,cellular,0.07321624920559665,True,True,False,True,0.03225806451612903,0.18181818181818182,False,True,5,14
207,married,34,master,teacher,unknown,0.07291361935217038,False,False,False,True,0.0,0.2077922077922078,False,False,5,21
208,divorced,35,master,manager,cellular,0.08106445007111802,False,False,False,True,0.2096774193548387,0.2207792207792208,False,False,8,29
209,divorced,42,master,manager,cellular,0.07567763868013035,False,True,False,True,0.03225806451612903,0.31168831168831174,False,False,4,20
210,married,34,bachelor,architect,unknown,0.07358949269148905,False,True,False,True,0.016129032258064516,0.2077922077922078,False,False,5,15
211,married,55,bachelor,manager,cellular,0.07844165800809032,True,False,False,True,0.0,0.4805194805194805,False,True,2,2
212,married,42,master,teacher,unknown,0.08427232651743653,False,True,False,True,0.016129032258064516,0.31168831168831174,False,False,5,6
213,married,27,bachelor,engineer,cellular,0.06877767802201129,True,False,False,False,0.04838709677419355,0.11688311688311687,False,False,7,21
214,single,34,master,scientist,cellular,0.07294388233751299,False,False,False,True,0.0,0.2077922077922078,True,False,8,13
215,married,42,master,engineer,cellular,0.07920832030343687,False,True,False,True,0.016129032258064516,0.31168831168831174,False,False,4,17
216,married,49,bachelor,retired,unknown,0.10105819572081388,False,True,False,True,0.03225806451612903,0.40259740259740256,False,False,5,29
217,married,36,master,scientist,cellular,0.0796622650835763,False,False,False,True,0.03225806451612903,0.2337662337662338,False,False,7,11
218,single,53,bachelor,engineer,unknown,0.071561872673533,True,True,False,False,0.0,0.45454545454545453,False,False,5,28
219,married,38,master,scientist,unknown,0.07288335636682775,False,True,True,True,0.03225806451612903,0.25974025974025977,False,False,5,9
220,married,38,doctoral,retired,cellular,0.07280265507258074,False,True,False,True,0.03225806451612903,0.25974025974025977,False,False,11,18
221,married,55,master,teacher,cellular,0.09994855292491754,False,True,False,True,0.0,0.4805194805194805,False,False,4,17
222,married,60,bachelor,engineer,cellular,0.07285309338148512,False,False,False,True,0.0,0.5454545454545454,True,True,1,29
223,married,39,master,technician,cellular,0.06388516205828652,True,True,False,False,0.03225806451612903,0.27272727272727276,False,True,11,19
224,single,36,doctoral,manager,cellular,0.07303467129354088,False,False,False,True,0.04838709677419355,0.2337662337662338,False,False,8,29
225,single,29,master,engineer,cellular,0.07463860951670014,False,False,False,True,0.016129032258064516,0.14285714285714285,False,False,1,30
226,single,32,master,technician,cellular,0.0816596221161897,False,True,False,True,0.03225806451612903,0.18181818181818182,False,False,7,28
227,single,35,master,engineer,cellular,0.06420796723527454,False,True,True,False,0.04838709677419355,0.2207792207792208,False,True,5,5
228,single,31,master,scientist,cellular,0.09590340055078635,False,False,False,True,0.0,0.16883116883116883,True,True,1,12
230,single,30,master,technician,cellular,0.0748201874287559,False,True,False,True,0.0,0.15584415584415584,False,False,5,7
231,married,45,master,technician,cellular,0.07466887250204277,False,False,False,True,0.0,0.3506493506493507,True,True,5,4
232,single,30,doctoral,student,cellular,0.0788249891557636,False,False,False,True,0.0,0.15584415584415584,False,False,8,4
233,married,50,bachelor,engineer,unknown,0.07293379467573212,True,True,False,True,0.0,0.41558441558441556,False,False,5,26
234,married,30,bachelor,engineer,unknown,0.08623942056470732,False,True,False,True,0.016129032258064516,0.15584415584415584,False,False,5,14
235,married,46,doctoral,manager,cellular,0.07283291805792337,False,False,False,True,0.04838709677419355,0.3636363636363637,False,False,8,18
236,married,45,bachelor,engineer,telephone,0.07554649907697895,False,True,False,True,0.03225806451612903,0.3506493506493507,False,False,5,15
237,married,56,master,scientist,cellular,0.09864724455518456,False,False,False,True,0.0,0.4935064935064935,True,False,4,8
238,married,37,bachelor,engineer,cellular,0.09835470236353916,False,True,False,True,0.03225806451612903,0.24675324675324678,False,False,11,20
240,married,59,master,accountant,cellular,0.18572394104770457,False,False,False,True,0.0,0.5324675324675325,False,False,8,5
241,divorced,56,master,accountant,cellular,0.08193198898427334,True,False,False,True,0.04838709677419355,0.4935064935064935,False,False,7,30
